---SIMILARITIES VIDEO URL <-> IP BETWEEN DIFFERENT VANTAGE POINTS---
https://youtu.be/05HuTGeF5AA
                              ID                           Url                                                IP      VantagePoint
2     2020-10-27 12:00:57.631871  https://youtu.be/05HuTGeF5AA  [74.125.166.202]                                  ip-172-31-14-163
50    2020-10-27 18:00:57.608723  https://youtu.be/05HuTGeF5AA  [74.125.170.218]                                  ip-172-31-14-163
99    2020-10-28 00:00:58.270189  https://youtu.be/05HuTGeF5AA  [74.125.170.218]                                  ip-172-31-14-163
148   2020-10-28 06:00:56.211381  https://youtu.be/05HuTGeF5AA  [74.125.166.202]                                  ip-172-31-14-163
197   2020-10-29 12:00:55.222278  https://youtu.be/05HuTGeF5AA  [74.125.170.218]                                  ip-172-31-14-163
246   2020-10-29 18:00:55.154957  https://youtu.be/05HuTGeF5AA  [74.125.166.202]                                  ip-172-31-14-163
295   2020-10-30 00:00:56.639361  https://youtu.be/05HuTGeF5AA  [74.125.170.218]                                  ip-172-31-14-163
344   2020-10-30 06:00:55.706941  https://youtu.be/05HuTGeF5AA  [74.125.166.202]                                  ip-172-31-14-163
393   2020-10-27 12:00:49.144022  https://youtu.be/05HuTGeF5AA  [173.194.7.26]                                    ip-172-31-85-175
442   2020-10-27 18:00:49.371553  https://youtu.be/05HuTGeF5AA  [173.194.184.138]                                 ip-172-31-85-175
491   2020-10-28 00:00:48.080769  https://youtu.be/05HuTGeF5AA  [173.194.184.138]                                 ip-172-31-85-175
540   2020-10-28 06:00:53.859996  https://youtu.be/05HuTGeF5AA  [173.194.184.138]                                 ip-172-31-85-175
589   2020-10-29 12:00:47.669694  https://youtu.be/05HuTGeF5AA  [173.194.184.138]                                 ip-172-31-85-175
638   2020-10-29 18:00:50.308975  https://youtu.be/05HuTGeF5AA  [173.194.7.26]                                    ip-172-31-85-175
687   2020-10-30 00:00:52.380432  https://youtu.be/05HuTGeF5AA  [173.194.7.26]                                    ip-172-31-85-175
736   2020-10-30 06:00:48.963435  https://youtu.be/05HuTGeF5AA  [173.194.7.26]                                    ip-172-31-85-175
785   2020-10-27 12:01:06.596637  https://youtu.be/05HuTGeF5AA  [74.125.11.105]                                   ip-172-31-43-135
834   2020-10-27 18:01:04.208303  https://youtu.be/05HuTGeF5AA  [173.194.188.233]                                 ip-172-31-43-135
883   2020-10-28 00:00:50.667198  https://youtu.be/05HuTGeF5AA  [74.125.11.105]                                   ip-172-31-43-135
